Creneau,Horaire,A1001,A301,A302,A502,B101,B102,B103,C201,C202,LAB_CHIMIE,LAB_ELEC,LAB_INFO_1,LAB_INFO_2,R108,R109
Creneau_0,Lundi 07h30-09h30,INF201 (45),,,INF206 (25),,,,,,,,,,,
Creneau_1,Lundi 10h00-12h00,PHY201 (40),CHM202 (25),,PHY204 (25),,,,,,,,,,,
Creneau_2,Lundi 14h00-16h00,MAT201 (60),BOA203 (40),,BOA201 (50),,,,,,,,,,,
Creneau_3,Lundi 16h30-18h30,INF202 (50),,,PHY203 (30),,,,,,,,INF303 (25),,,
Creneau_4,Mardi 07h30-09h30,BOA202 (45),CHM203 (20),,MAT203 (45),,,,,,,,,,,
Creneau_5,Mardi 10h00-12h00,INF204 (40),,,PHY202 (35),,,,,,,,INF302 (30),,,
Creneau_6,Mardi 14h00-16h00,MAT202 (55),,,CHM201 (30),,,,,,,,,,,
Creneau_7,Mardi 16h30-18h30,INF203 (35),,,INF205 (30),,,,,,,,INF301 (35),,,
Creneau_8,Mercredi 07h30-09h30,BOA204 (35),,,MAT204 (35),,,,,,,,,,,
